 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,36.000,190.000,36.000,190.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,249.500,170.167,249.500,170.167,0,0.000,1,0.000,0.000,NaN
3,0,7,7,280.833,158.833,280.833,158.833,0,0.000,1,0.000,0.000,NaN
4,0,15,15,282.167,176.833,282.167,176.833,0,0.000,1,0.000,0.000,NaN
5,0,15,15,479.500,190.167,479.500,190.167,0,0.000,1,0.000,0.000,NaN
6,0,15,15,600.833,179.500,600.833,179.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,531.500,230.167,531.500,230.167,0,0.000,1,0.000,0.000,NaN
8,0,3,3,465.500,209.500,465.500,209.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,369.500,208.833,369.500,208.833,0,0.000,1,0.000,0.000,NaN
10,0,2,2,329.500,218.167,329.500,218.167,0,0.000,1,0.000,0.000,NaN
11,0,2,2,195.500,204.833,195.500,204.833,0,0.000,1,0.000,0.000,NaN
12,0,3,3,166.167,200.167,166.167,200.167,0,0.000,1,0.000,0.000,NaN
13,0,9,9,108.167,204.833,108.167,204.833,0,0.000,1,0.000,0.000,NaN
14,0,2,2,90.833,216.833,90.833,216.833,0,0.000,1,0.000,0.000,NaN
