 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,41.000,190.000,41.000,190.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,207.167,162.833,207.167,162.833,0,0.000,1,0.000,0.000,NaN
3,0,13,13,250.500,146.167,250.500,146.167,0,0.000,1,0.000,0.000,NaN
4,0,12,12,244.500,163.500,244.500,163.500,0,0.000,1,0.000,0.000,NaN
5,0,13,13,477.167,188.167,477.167,188.167,0,0.000,1,0.000,0.000,NaN
6,0,15,15,603.833,180.833,603.833,180.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,518.500,224.833,518.500,224.833,0,0.000,1,0.000,0.000,NaN
8,0,7,7,457.833,206.833,457.833,206.833,0,0.000,1,0.000,0.000,NaN
9,0,4,4,362.500,212.833,362.500,212.833,0,0.000,1,0.000,0.000,NaN
10,0,15,15,323.833,225.500,323.833,225.500,0,0.000,1,0.000,0.000,NaN
11,0,1,1,176.500,210.167,176.500,210.167,0,0.000,1,0.000,0.000,NaN
12,0,5,5,153.833,207.500,153.833,207.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,113.167,210.833,113.167,210.833,0,0.000,1,0.000,0.000,NaN
14,0,4,4,97.167,218.167,97.167,218.167,0,0.000,1,0.000,0.000,NaN
