 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,44.000,179.000,44.000,179.000,0,0.000,1,0.000,0.000,NaN
2,0,8,8,250.000,152.000,250.000,152.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,282.500,135.000,282.500,135.000,0,0.000,1,0.000,0.000,NaN
4,0,5,5,279.500,156.500,279.500,156.500,0,0.000,1,0.000,0.000,NaN
5,0,5,5,485.500,176.500,485.500,176.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,601.500,159.000,601.500,159.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,532.500,217.000,532.500,217.000,0,0.000,1,0.000,0.000,NaN
8,0,5,5,475.500,193.000,475.500,193.000,0,0.000,1,0.000,0.000,NaN
9,0,10,10,401.500,198.000,401.500,198.000,0,0.000,1,0.000,0.000,NaN
10,0,15,15,350.500,202.000,350.500,202.000,0,0.000,1,0.000,0.000,NaN
11,0,7,7,200.000,207.000,200.000,207.000,0,0.000,1,0.000,0.000,NaN
12,0,15,15,169.000,196.000,169.000,196.000,0,0.000,1,0.000,0.000,NaN
13,0,12,12,111.500,193.000,111.500,193.000,0,0.000,1,0.000,0.000,NaN
14,0,7,7,92.000,200.000,92.000,200.000,0,0.000,1,0.000,0.000,NaN
