 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,13,13,46.500,202.000,46.500,202.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,341.500,177.500,341.500,177.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,365.500,170.500,365.500,170.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,360.000,180.500,360.000,180.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,524.500,198.000,524.500,198.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,597.500,159.000,597.500,159.000,0,0.000,1,0.000,0.000,NaN
7,0,1,1,581.000,236.000,581.000,236.000,0,0.000,1,0.000,0.000,NaN
8,0,4,4,523.500,211.500,523.500,211.500,0,0.000,1,0.000,0.000,NaN
9,0,0,0,423.500,214.000,423.500,214.000,0,0.000,1,0.000,0.000,NaN
10,0,5,5,393.000,224.000,393.000,224.000,0,0.000,1,0.000,0.000,NaN
11,0,11,11,204.500,218.500,204.500,218.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,194.500,199.500,194.500,199.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,130.500,214.000,130.500,214.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,108.500,230.500,108.500,230.500,0,0.000,1,0.000,0.000,NaN
