 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,3,3,44.000,233.000,44.000,233.000,0,0.000,1,0.000,0.000,NaN
2,0,10,10,174.833,183.167,174.833,183.167,0,0.000,1,0.000,0.000,NaN
3,0,12,12,256.167,108.500,256.167,108.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,240.833,183.167,240.833,183.167,0,0.000,1,0.000,0.000,NaN
5,0,12,12,420.833,211.167,420.833,211.167,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,179.167,599.500,179.167,0,0.000,1,0.000,0.000,NaN
7,0,14,14,472.167,259.833,472.167,259.833,0,0.000,1,0.000,0.000,NaN
8,0,4,4,417.500,236.500,417.500,236.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,308.167,245.833,308.167,245.833,0,0.000,1,0.000,0.000,NaN
10,0,6,6,276.833,248.500,276.833,248.500,0,0.000,1,0.000,0.000,NaN
11,0,4,4,178.833,247.167,178.833,247.167,0,0.000,1,0.000,0.000,NaN
12,0,8,8,156.833,246.500,156.833,246.500,0,0.000,1,0.000,0.000,NaN
13,0,7,7,93.500,235.167,93.500,235.167,0,0.000,1,0.000,0.000,NaN
14,0,0,0,78.167,239.167,78.167,239.167,0,0.000,1,0.000,0.000,NaN
