 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,46.500,178.000,46.500,178.000,0,0.000,1,0.000,0.000,NaN
2,0,10,10,341.000,162.000,341.000,162.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,394.500,110.000,394.500,110.000,0,0.000,1,0.000,0.000,NaN
4,0,9,9,389.000,168.500,389.000,168.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,491.500,178.000,491.500,178.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,606.000,165.000,606.000,165.000,0,0.000,1,0.000,0.000,NaN
7,0,11,11,522.000,213.000,522.000,213.000,0,0.000,1,0.000,0.000,NaN
8,0,4,4,488.000,200.000,488.000,200.000,0,0.000,1,0.000,0.000,NaN
9,0,13,13,352.000,204.000,352.000,204.000,0,0.000,1,0.000,0.000,NaN
10,0,0,0,297.500,217.000,297.500,217.000,0,0.000,1,0.000,0.000,NaN
11,0,0,0,232.000,208.000,232.000,208.000,0,0.000,1,0.000,0.000,NaN
12,0,15,15,152.500,209.500,152.500,209.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,70.500,195.500,70.500,195.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,56.500,192.000,56.500,192.000,0,0.000,1,0.000,0.000,NaN
