 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,31.500,212.000,31.500,212.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,238.000,172.500,238.000,172.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,296.500,140.000,296.500,140.000,0,0.000,1,0.000,0.000,NaN
4,0,6,6,296.500,180.500,296.500,180.500,0,0.000,1,0.000,0.000,NaN
5,0,6,6,502.500,189.000,502.500,189.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,614.000,144.000,614.000,144.000,0,0.000,1,0.000,0.000,NaN
7,0,2,2,557.000,218.500,557.000,218.500,0,0.000,1,0.000,0.000,NaN
8,0,11,11,509.500,210.500,509.500,210.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,355.000,223.500,355.000,223.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,335.500,229.500,335.500,229.500,0,0.000,1,0.000,0.000,NaN
11,0,6,6,197.500,224.500,197.500,224.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,168.000,222.500,168.000,222.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,96.500,226.500,96.500,226.500,0,0.000,1,0.000,0.000,NaN
14,0,7,7,86.500,229.500,86.500,229.500,0,0.000,1,0.000,0.000,NaN
