 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,5,5,38.500,214.000,38.500,214.000,0,0.000,1,0.000,0.000,NaN
2,0,1,1,282.000,182.000,282.000,182.000,0,0.000,1,0.000,0.000,NaN
3,0,7,7,313.500,158.500,313.500,158.500,0,0.000,1,0.000,0.000,NaN
4,0,2,2,309.000,183.500,309.000,183.500,0,0.000,1,0.000,0.000,NaN
5,0,3,3,478.000,193.000,478.000,193.000,0,0.000,1,0.000,0.000,NaN
6,0,7,7,601.000,189.500,601.000,189.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,519.000,226.000,519.000,226.000,0,0.000,1,0.000,0.000,NaN
8,0,15,15,479.000,212.500,479.000,212.500,0,0.000,1,0.000,0.000,NaN
9,0,9,9,288.500,215.500,288.500,215.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,251.000,226.000,251.000,226.000,0,0.000,1,0.000,0.000,NaN
11,0,0,0,163.500,226.500,163.500,226.500,0,0.000,1,0.000,0.000,NaN
12,0,14,14,134.000,224.500,134.000,224.500,0,0.000,1,0.000,0.000,NaN
13,0,2,2,92.500,225.000,92.500,225.000,0,0.000,1,0.000,0.000,NaN
14,0,6,6,78.500,226.500,78.500,226.500,0,0.000,1,0.000,0.000,NaN
