 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,42.500,138.500,42.500,138.500,0,0.000,1,0.000,0.000,NaN
2,0,15,15,201.500,107.500,201.500,107.500,0,0.000,1,0.000,0.000,NaN
3,0,1,1,273.500,62.000,273.500,62.000,0,0.000,1,0.000,0.000,NaN
4,0,15,15,263.000,111.500,263.000,111.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,473.000,135.000,473.000,135.000,0,0.000,1,0.000,0.000,NaN
6,0,1,1,612.000,108.000,612.000,108.000,0,0.000,1,0.000,0.000,NaN
7,0,1,1,530.000,193.500,530.000,193.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,473.000,152.500,473.000,152.500,0,0.000,1,0.000,0.000,NaN
9,0,7,7,366.000,162.000,366.000,162.000,0,0.000,1,0.000,0.000,NaN
10,0,15,15,338.000,166.500,338.000,166.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,187.000,170.000,187.000,170.000,0,0.000,1,0.000,0.000,NaN
12,0,15,15,155.000,168.500,155.000,168.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,95.000,163.000,95.000,163.000,0,0.000,1,0.000,0.000,NaN
14,0,11,11,61.500,153.500,61.500,153.500,0,0.000,1,0.000,0.000,NaN
