 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,38.500,178.500,38.500,178.500,0,0.000,1,0.000,0.000,NaN
2,0,13,13,278.500,152.500,278.500,152.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,318.000,128.000,318.000,128.000,0,0.000,1,0.000,0.000,NaN
4,0,13,13,308.500,154.000,308.500,154.000,0,0.000,1,0.000,0.000,NaN
5,0,10,10,449.000,162.000,449.000,162.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.000,161.000,599.000,161.000,0,0.000,1,0.000,0.000,NaN
7,0,4,4,491.500,195.500,491.500,195.500,0,0.000,1,0.000,0.000,NaN
8,0,4,4,434.500,186.500,434.500,186.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,283.000,189.500,283.000,189.500,0,0.000,1,0.000,0.000,NaN
10,0,13,13,242.500,198.500,242.500,198.500,0,0.000,1,0.000,0.000,NaN
11,0,0,0,169.500,194.000,169.500,194.000,0,0.000,1,0.000,0.000,NaN
12,0,2,2,145.500,193.000,145.500,193.000,0,0.000,1,0.000,0.000,NaN
13,0,15,15,96.000,193.000,96.000,193.000,0,0.000,1,0.000,0.000,NaN
14,0,10,10,83.000,196.000,83.000,196.000,0,0.000,1,0.000,0.000,NaN
