 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,44.500,175.500,44.500,175.500,0,0.000,1,0.000,0.000,NaN
2,0,7,7,297.500,148.000,297.500,148.000,0,0.000,1,0.000,0.000,NaN
3,0,3,3,344.000,135.500,344.000,135.500,0,0.000,1,0.000,0.000,NaN
4,0,3,3,325.500,150.000,325.500,150.000,0,0.000,1,0.000,0.000,NaN
5,0,0,0,476.500,151.500,476.500,151.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,598.500,143.000,598.500,143.000,0,0.000,1,0.000,0.000,NaN
7,0,10,10,487.500,195.500,487.500,195.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,430.500,181.000,430.500,181.000,0,0.000,1,0.000,0.000,NaN
9,0,5,5,294.000,194.000,294.000,194.000,0,0.000,1,0.000,0.000,NaN
10,0,15,15,243.000,199.000,243.000,199.000,0,0.000,1,0.000,0.000,NaN
11,0,9,9,192.000,189.500,192.000,189.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,149.500,188.000,149.500,188.000,0,0.000,1,0.000,0.000,NaN
13,0,15,15,100.500,187.500,100.500,187.500,0,0.000,1,0.000,0.000,NaN
14,0,9,9,91.000,191.000,91.000,191.000,0,0.000,1,0.000,0.000,NaN
