 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,6,6,35.500,187.000,35.500,187.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,308.500,164.500,308.500,164.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,353.500,151.500,353.500,151.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,353.500,151.500,353.500,151.500,0,0.000,1,0.000,0.000,NaN
5,0,6,6,342.500,169.500,342.500,169.500,0,0.000,1,0.000,0.000,NaN
6,0,8,8,466.500,177.500,466.500,177.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,601.000,175.000,601.000,175.000,0,0.000,1,0.000,0.000,NaN
8,0,15,15,494.000,217.000,494.000,217.000,0,0.000,1,0.000,0.000,NaN
9,0,15,15,334.000,204.500,334.000,204.500,0,0.000,1,0.000,0.000,NaN
10,0,1,1,281.500,208.500,281.500,208.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,188.500,209.000,188.500,209.000,0,0.000,1,0.000,0.000,NaN
12,0,2,2,144.500,199.500,144.500,199.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,92.500,202.500,92.500,202.500,0,0.000,1,0.000,0.000,NaN
14,0,2,2,79.500,205.500,79.500,205.500,0,0.000,1,0.000,0.000,NaN
