 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,14,14,47.500,196.500,47.500,196.500,0,0.000,1,0.000,0.000,NaN
2,0,5,5,308.500,164.000,308.500,164.000,0,0.000,1,0.000,0.000,NaN
3,0,14,14,347.500,143.000,347.500,143.000,0,0.000,1,0.000,0.000,NaN
4,0,4,4,335.500,169.500,335.500,169.500,0,0.000,1,0.000,0.000,NaN
5,0,5,5,468.000,179.000,468.000,179.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,602.000,152.500,602.000,152.500,0,0.000,1,0.000,0.000,NaN
7,0,2,2,485.500,223.000,485.500,223.000,0,0.000,1,0.000,0.000,NaN
8,0,7,7,435.500,202.000,435.500,202.000,0,0.000,1,0.000,0.000,NaN
9,0,15,15,319.000,211.000,319.000,211.000,0,0.000,1,0.000,0.000,NaN
10,0,8,8,265.500,218.000,265.500,218.000,0,0.000,1,0.000,0.000,NaN
11,0,7,7,213.000,213.000,213.000,213.000,0,0.000,1,0.000,0.000,NaN
12,0,2,2,170.500,205.500,170.500,205.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,116.000,209.500,116.000,209.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,96.000,212.500,96.000,212.500,0,0.000,1,0.000,0.000,NaN
