 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,9,9,34.000,194.000,34.000,194.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,283.500,165.500,283.500,165.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,322.833,152.167,322.833,152.167,0,0.000,1,0.000,0.000,NaN
4,0,12,12,308.167,168.167,308.167,168.167,0,0.000,1,0.000,0.000,NaN
5,0,1,1,460.833,180.833,460.833,180.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,608.167,181.500,608.167,181.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,479.500,228.167,479.500,228.167,0,0.000,1,0.000,0.000,NaN
8,0,9,9,445.500,207.500,445.500,207.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,289.500,210.833,289.500,210.833,0,0.000,1,0.000,0.000,NaN
10,0,14,14,248.833,214.833,248.833,214.833,0,0.000,1,0.000,0.000,NaN
11,0,11,11,183.500,211.500,183.500,211.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,144.167,207.500,144.167,207.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,91.500,204.833,91.500,204.833,0,0.000,1,0.000,0.000,NaN
14,0,6,6,79.500,209.500,79.500,209.500,0,0.000,1,0.000,0.000,NaN
