 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,46.000,198.000,46.000,198.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,272.000,160.500,272.000,160.500,0,0.000,1,0.000,0.000,NaN
3,0,6,6,344.000,119.500,344.000,119.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,322.500,174.000,322.500,174.000,0,0.000,1,0.000,0.000,NaN
5,0,11,11,443.500,177.500,443.500,177.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,592.500,153.000,592.500,153.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,469.000,221.000,469.000,221.000,0,0.000,1,0.000,0.000,NaN
8,0,13,13,429.000,201.500,429.000,201.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,313.500,220.500,313.500,220.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,280.500,219.000,280.500,219.000,0,0.000,1,0.000,0.000,NaN
11,0,7,7,200.000,219.000,200.000,219.000,0,0.000,1,0.000,0.000,NaN
12,0,8,8,158.500,220.000,158.500,220.000,0,0.000,1,0.000,0.000,NaN
13,0,15,15,74.000,206.500,74.000,206.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,62.500,211.500,62.500,211.500,0,0.000,1,0.000,0.000,NaN
