 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,7,7,30.000,200.000,30.000,200.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,201.500,165.500,201.500,165.500,0,0.000,1,0.000,0.000,NaN
3,0,7,7,259.500,115.500,259.500,115.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,274.500,169.500,274.500,169.500,0,0.000,1,0.000,0.000,NaN
5,0,8,8,461.500,185.500,461.500,185.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,605.500,163.500,605.500,163.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,519.500,239.500,519.500,239.500,0,0.000,1,0.000,0.000,NaN
8,0,13,13,460.500,207.500,460.500,207.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,363.500,223.500,363.500,223.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,321.500,230.500,321.500,230.500,0,0.000,1,0.000,0.000,NaN
11,0,0,0,216.500,222.500,216.500,222.500,0,0.000,1,0.000,0.000,NaN
12,0,1,1,165.500,233.500,165.500,233.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,96.500,214.500,96.500,214.500,0,0.000,1,0.000,0.000,NaN
14,0,5,5,63.500,214.500,63.500,214.500,0,0.000,1,0.000,0.000,NaN
