 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,9,9,44.000,193.000,44.000,193.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,297.500,155.500,297.500,155.500,0,0.000,1,0.000,0.000,NaN
3,0,5,5,346.500,141.500,346.500,141.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,335.500,166.500,335.500,166.500,0,0.000,1,0.000,0.000,NaN
5,0,9,9,490.500,180.500,490.500,180.500,0,0.000,1,0.000,0.000,NaN
6,0,5,5,598.500,169.500,598.500,169.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,510.500,215.500,510.500,215.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,458.500,199.500,458.500,199.500,0,0.000,1,0.000,0.000,NaN
9,0,1,1,327.500,199.500,327.500,199.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,281.500,203.500,281.500,203.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,189.500,211.500,189.500,211.500,0,0.000,1,0.000,0.000,NaN
12,0,1,1,152.500,209.500,152.500,209.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,99.500,208.500,99.500,208.500,0,0.000,1,0.000,0.000,NaN
14,0,5,5,88.500,209.500,88.500,209.500,0,0.000,1,0.000,0.000,NaN
