 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,45.000,201.000,45.000,201.000,0,0.000,1,0.000,0.000,NaN
2,0,9,9,268.833,175.833,268.833,175.833,0,0.000,1,0.000,0.000,NaN
3,0,2,2,325.500,159.833,325.500,159.833,0,0.000,1,0.000,0.000,NaN
4,0,9,9,306.833,181.833,306.833,181.833,0,0.000,1,0.000,0.000,NaN
5,0,15,15,419.500,177.833,419.500,177.833,0,0.000,1,0.000,0.000,NaN
6,0,10,10,598.167,145.833,598.167,145.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,479.500,220.500,479.500,220.500,0,0.000,1,0.000,0.000,NaN
8,0,1,1,400.833,201.833,400.833,201.833,0,0.000,1,0.000,0.000,NaN
9,0,15,15,294.167,208.500,294.167,208.500,0,0.000,1,0.000,0.000,NaN
10,0,7,7,259.500,217.167,259.500,217.167,0,0.000,1,0.000,0.000,NaN
11,0,10,10,187.500,219.833,187.500,219.833,0,0.000,1,0.000,0.000,NaN
12,0,8,8,154.833,217.167,154.833,217.167,0,0.000,1,0.000,0.000,NaN
13,0,15,15,112.833,213.167,112.833,213.167,0,0.000,1,0.000,0.000,NaN
14,0,15,15,88.167,218.500,88.167,218.500,0,0.000,1,0.000,0.000,NaN
