 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,45.000,196.000,45.000,196.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,292.500,169.500,292.500,169.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,342.500,144.500,342.500,144.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,331.500,176.500,331.500,176.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,484.500,189.500,484.500,189.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,603.500,182.500,603.500,182.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,533.500,221.500,533.500,221.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,484.500,205.500,484.500,205.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,292.500,206.500,292.500,206.500,0,0.000,1,0.000,0.000,NaN
10,0,12,12,259.500,218.500,259.500,218.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,165.500,212.500,165.500,212.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,130.500,211.500,130.500,211.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,82.500,208.500,82.500,208.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,69.500,208.500,69.500,208.500,0,0.000,1,0.000,0.000,NaN
