 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,59,59,8.000,92.000,8.000,92.000,0,0.000,1,0.000,0.000,NaN
2,0,65,65,301.000,40.500,301.000,40.500,0,0.000,1,0.000,0.000,NaN
3,0,233,233,383.000,10.000,383.000,10.000,0,0.000,1,0.000,0.000,NaN
4,0,56,56,371.500,55.500,371.500,55.500,0,0.000,1,0.000,0.000,NaN
5,0,88,88,488.000,64.500,488.000,64.500,0,0.000,1,0.000,0.000,NaN
6,0,254,254,620.000,50.500,620.000,50.500,0,0.000,1,0.000,0.000,NaN
7,0,117,117,546.000,99.000,546.000,99.000,0,0.000,1,0.000,0.000,NaN
8,0,255,255,497.500,89.000,497.500,89.000,0,0.000,1,0.000,0.000,NaN
9,0,201,201,344.500,106.500,344.500,106.500,0,0.000,1,0.000,0.000,NaN
10,0,89,89,293.500,116.500,293.500,116.500,0,0.000,1,0.000,0.000,NaN
11,0,182,182,180.000,93.500,180.000,93.500,0,0.000,1,0.000,0.000,NaN
12,0,237,237,137.500,99.000,137.500,99.000,0,0.000,1,0.000,0.000,NaN
13,0,255,255,35.000,103.000,35.000,103.000,0,0.000,1,0.000,0.000,NaN
14,0,59,59,31.500,106.000,31.500,106.000,0,0.000,1,0.000,0.000,NaN
