 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,16.000,167.000,16.000,167.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,174.500,129.500,174.500,129.500,0,0.000,1,0.000,0.000,NaN
3,0,9,9,249.500,80.500,249.500,80.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,246.500,132.500,246.500,132.500,0,0.000,1,0.000,0.000,NaN
5,0,10,10,458.500,161.500,458.500,161.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,614.500,139.500,614.500,139.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,515.500,213.500,515.500,213.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,457.500,178.500,457.500,178.500,0,0.000,1,0.000,0.000,NaN
9,0,0,0,323.500,191.500,323.500,191.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,283.500,192.500,283.500,192.500,0,0.000,1,0.000,0.000,NaN
11,0,3,3,157.500,190.500,157.500,190.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,137.500,198.500,137.500,198.500,0,0.000,1,0.000,0.000,NaN
13,0,9,9,71.500,181.500,71.500,181.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,57.500,185.500,57.500,185.500,0,0.000,1,0.000,0.000,NaN
