 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,51.500,210.000,51.500,210.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,194.000,162.000,194.000,162.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,259.500,105.500,259.500,105.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,243.000,168.500,243.000,168.500,0,0.000,1,0.000,0.000,NaN
5,0,9,9,479.500,179.000,479.500,179.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,592.500,135.000,592.500,135.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,535.500,218.000,535.500,218.000,0,0.000,1,0.000,0.000,NaN
8,0,7,7,467.500,199.500,467.500,199.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,320.500,218.500,320.500,218.500,0,0.000,1,0.000,0.000,NaN
10,0,3,3,278.500,230.000,278.500,230.000,0,0.000,1,0.000,0.000,NaN
11,0,5,5,188.500,221.000,188.500,221.000,0,0.000,1,0.000,0.000,NaN
12,0,15,15,147.500,231.000,147.500,231.000,0,0.000,1,0.000,0.000,NaN
13,0,7,7,92.000,223.500,92.000,223.500,0,0.000,1,0.000,0.000,NaN
14,0,7,7,78.500,225.000,78.500,225.000,0,0.000,1,0.000,0.000,NaN
