 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,5,5,55.000,209.000,55.000,209.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,210.500,158.500,210.500,158.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,259.500,96.500,259.500,96.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,268.500,165.500,268.500,165.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,491.500,181.500,491.500,181.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,593.500,118.500,593.500,118.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,565.500,231.500,565.500,231.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,499.500,199.500,499.500,199.500,0,0.000,1,0.000,0.000,NaN
9,0,5,5,329.500,220.500,329.500,220.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,295.500,239.500,295.500,239.500,0,0.000,1,0.000,0.000,NaN
11,0,2,2,217.500,229.500,217.500,229.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,164.500,236.500,164.500,236.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,84.500,220.500,84.500,220.500,0,0.000,1,0.000,0.000,NaN
14,0,8,8,73.500,223.500,73.500,223.500,0,0.000,1,0.000,0.000,NaN
