 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,46.000,179.000,46.000,179.000,0,0.000,1,0.000,0.000,NaN
2,0,8,8,351.500,157.500,351.500,157.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,381.500,136.167,381.500,136.167,0,0.000,1,0.000,0.000,NaN
4,0,0,0,384.833,164.833,384.833,164.833,0,0.000,1,0.000,0.000,NaN
5,0,13,13,444.167,172.167,444.167,172.167,0,0.000,1,0.000,0.000,NaN
6,0,15,15,608.833,161.500,608.833,161.500,0,0.000,1,0.000,0.000,NaN
7,0,5,5,482.167,228.167,482.167,228.167,0,0.000,1,0.000,0.000,NaN
8,0,0,0,442.833,194.167,442.833,194.167,0,0.000,1,0.000,0.000,NaN
9,0,13,13,336.167,212.167,336.167,212.167,0,0.000,1,0.000,0.000,NaN
10,0,5,5,296.167,213.500,296.167,213.500,0,0.000,1,0.000,0.000,NaN
11,0,13,13,180.833,212.167,180.833,212.167,0,0.000,1,0.000,0.000,NaN
12,0,0,0,148.167,211.500,148.167,211.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,99.500,198.167,99.500,198.167,0,0.000,1,0.000,0.000,NaN
14,0,6,6,75.500,198.167,75.500,198.167,0,0.000,1,0.000,0.000,NaN
