 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,34.000,214.000,34.000,214.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,194.500,179.500,194.500,179.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,254.500,142.500,254.500,142.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,259.500,185.500,259.500,185.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,499.500,201.500,499.500,201.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,616.500,193.500,616.500,193.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,533.500,235.500,533.500,235.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,492.500,216.500,492.500,216.500,0,0.000,1,0.000,0.000,NaN
9,0,6,6,314.500,229.500,314.500,229.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,283.500,232.500,283.500,232.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,165.500,229.500,165.500,229.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,141.500,228.500,141.500,228.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,84.500,224.500,84.500,224.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,74.500,221.500,74.500,221.500,0,0.000,1,0.000,0.000,NaN
