 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,2,2,36.000,207.000,36.000,207.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,205.500,151.500,205.500,151.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,271.500,113.500,271.500,113.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,263.500,159.500,263.500,159.500,0,0.000,1,0.000,0.000,NaN
5,0,9,9,489.500,206.500,489.500,206.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,610.500,174.500,610.500,174.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,540.500,245.500,540.500,245.500,0,0.000,1,0.000,0.000,NaN
8,0,4,4,494.500,223.500,494.500,223.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,333.500,225.500,333.500,225.500,0,0.000,1,0.000,0.000,NaN
10,0,5,5,293.500,223.500,293.500,223.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,171.500,223.500,171.500,223.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,144.500,227.500,144.500,227.500,0,0.000,1,0.000,0.000,NaN
13,0,1,1,84.500,223.500,84.500,223.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,66.500,222.500,66.500,222.500,0,0.000,1,0.000,0.000,NaN
