 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,48.833,218.167,48.833,218.167,0,0.000,1,0.000,0.000,NaN
2,0,5,5,224.167,144.167,224.167,144.167,0,0.000,1,0.000,0.000,NaN
3,0,6,6,274.833,104.167,274.833,104.167,0,0.000,1,0.000,0.000,NaN
4,0,4,4,272.833,148.167,272.833,148.167,0,0.000,1,0.000,0.000,NaN
5,0,11,11,484.167,198.833,484.167,198.833,0,0.000,1,0.000,0.000,NaN
6,0,4,4,592.833,172.167,592.833,172.167,0,0.000,1,0.000,0.000,NaN
7,0,10,10,532.167,250.833,532.167,250.833,0,0.000,1,0.000,0.000,NaN
8,0,4,4,485.500,217.500,485.500,217.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,339.500,217.500,339.500,217.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,293.500,234.167,293.500,234.167,0,0.000,1,0.000,0.000,NaN
11,0,15,15,202.167,225.500,202.167,225.500,0,0.000,1,0.000,0.000,NaN
12,0,4,4,171.500,232.833,171.500,232.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,82.833,227.500,82.833,227.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,64.833,228.833,64.833,228.833,0,0.000,1,0.000,0.000,NaN
