 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,186,186,16.500,112.500,16.500,112.500,0,0.000,1,0.000,0.000,NaN
2,0,90,90,196.000,80.500,196.000,80.500,0,0.000,1,0.000,0.000,NaN
3,0,189,189,257.000,34.500,257.000,34.500,0,0.000,1,0.000,0.000,NaN
4,0,75,75,261.000,86.000,261.000,86.000,0,0.000,1,0.000,0.000,NaN
5,0,93,93,507.000,108.000,507.000,108.000,0,0.000,1,0.000,0.000,NaN
6,0,123,123,622.500,59.500,622.500,59.500,0,0.000,1,0.000,0.000,NaN
7,0,167,167,558.000,143.500,558.000,143.500,0,0.000,1,0.000,0.000,NaN
8,0,108,108,506.000,127.000,506.000,127.000,0,0.000,1,0.000,0.000,NaN
9,0,165,165,342.500,142.000,342.500,142.000,0,0.000,1,0.000,0.000,NaN
10,0,193,193,309.500,146.500,309.500,146.500,0,0.000,1,0.000,0.000,NaN
11,0,176,176,168.000,139.000,168.000,139.000,0,0.000,1,0.000,0.000,NaN
12,0,179,179,132.000,135.000,132.000,135.000,0,0.000,1,0.000,0.000,NaN
13,0,182,182,67.500,129.000,67.500,129.000,0,0.000,1,0.000,0.000,NaN
14,0,117,117,58.500,131.000,58.500,131.000,0,0.000,1,0.000,0.000,NaN
