 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,54.000,216.000,54.000,216.000,0,0.000,1,0.000,0.000,NaN
2,0,7,7,243.500,194.500,243.500,194.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,288.500,157.500,288.500,157.500,0,0.000,1,0.000,0.000,NaN
4,0,9,9,290.000,195.500,290.000,195.500,0,0.000,1,0.000,0.000,NaN
5,0,14,14,462.000,197.000,462.000,197.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,602.000,189.500,602.000,189.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,512.000,214.500,512.000,214.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,466.500,211.000,466.500,211.000,0,0.000,1,0.000,0.000,NaN
9,0,4,4,234.500,227.000,234.500,227.000,0,0.000,1,0.000,0.000,NaN
10,0,9,9,203.500,225.000,203.500,225.000,0,0.000,1,0.000,0.000,NaN
11,0,4,4,148.500,225.000,148.500,225.000,0,0.000,1,0.000,0.000,NaN
12,0,15,15,128.000,225.000,128.000,225.000,0,0.000,1,0.000,0.000,NaN
13,0,3,3,73.000,219.500,73.000,219.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,63.500,221.500,63.500,221.500,0,0.000,1,0.000,0.000,NaN
