 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,26.000,191.000,26.000,191.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,313.500,168.500,313.500,168.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,346.500,149.500,346.500,149.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,342.500,175.500,342.500,175.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,431.500,182.500,431.500,182.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,616.500,177.500,616.500,177.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,481.500,230.500,481.500,230.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,436.500,202.500,436.500,202.500,0,0.000,1,0.000,0.000,NaN
9,0,9,9,311.500,216.500,311.500,216.500,0,0.000,1,0.000,0.000,NaN
10,0,1,1,258.500,223.500,258.500,223.500,0,0.000,1,0.000,0.000,NaN
11,0,9,9,184.500,220.500,184.500,220.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,152.500,222.500,152.500,222.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,104.500,209.500,104.500,209.500,0,0.000,1,0.000,0.000,NaN
14,0,0,0,57.500,207.500,57.500,207.500,0,0.000,1,0.000,0.000,NaN
