 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,7,7,46.000,212.000,46.000,212.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,196.833,156.833,196.833,156.833,0,0.000,1,0.000,0.000,NaN
3,0,13,13,257.500,113.500,257.500,113.500,0,0.000,1,0.000,0.000,NaN
4,0,12,12,238.167,166.167,238.167,166.167,0,0.000,1,0.000,0.000,NaN
5,0,13,13,492.167,170.833,492.167,170.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,600.833,153.500,600.833,153.500,0,0.000,1,0.000,0.000,NaN
7,0,8,8,546.833,226.833,546.833,226.833,0,0.000,1,0.000,0.000,NaN
8,0,10,10,477.500,192.167,477.500,192.167,0,0.000,1,0.000,0.000,NaN
9,0,15,15,334.167,210.833,334.167,210.833,0,0.000,1,0.000,0.000,NaN
10,0,11,11,274.833,224.833,274.833,224.833,0,0.000,1,0.000,0.000,NaN
11,0,10,10,223.500,215.500,223.500,215.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,174.833,219.500,174.833,219.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,74.167,221.500,74.167,221.500,0,0.000,1,0.000,0.000,NaN
14,0,5,5,60.167,222.833,60.167,222.833,0,0.000,1,0.000,0.000,NaN
