 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,67.000,207.000,67.000,207.000,0,0.000,1,0.000,0.000,NaN
2,0,9,9,198.833,158.833,198.833,158.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,262.833,96.833,262.833,96.833,0,0.000,1,0.000,0.000,NaN
4,0,4,4,246.167,161.500,246.167,161.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,477.500,185.500,477.500,185.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,579.500,160.167,579.500,160.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,529.500,238.167,529.500,238.167,0,0.000,1,0.000,0.000,NaN
8,0,15,15,477.500,203.500,477.500,203.500,0,0.000,1,0.000,0.000,NaN
9,0,14,14,304.833,217.500,304.833,217.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,270.833,233.500,270.833,233.500,0,0.000,1,0.000,0.000,NaN
11,0,3,3,196.833,224.833,196.833,224.833,0,0.000,1,0.000,0.000,NaN
12,0,14,14,162.167,227.500,162.167,227.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,88.833,219.500,88.833,219.500,0,0.000,1,0.000,0.000,NaN
14,0,5,5,77.500,217.500,77.500,217.500,0,0.000,1,0.000,0.000,NaN
