 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,45.000,206.000,45.000,206.000,0,0.000,1,0.000,0.000,NaN
2,0,8,8,273.500,182.833,273.500,182.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,315.500,163.500,315.500,163.500,0,0.000,1,0.000,0.000,NaN
4,0,9,9,302.833,186.167,302.833,186.167,0,0.000,1,0.000,0.000,NaN
5,0,8,8,480.833,190.833,480.833,190.833,0,0.000,1,0.000,0.000,NaN
6,0,1,1,596.167,173.500,596.167,173.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,519.500,212.167,519.500,212.167,0,0.000,1,0.000,0.000,NaN
8,0,2,2,471.500,204.833,471.500,204.833,0,0.000,1,0.000,0.000,NaN
9,0,6,6,275.500,212.167,275.500,212.167,0,0.000,1,0.000,0.000,NaN
10,0,11,11,234.167,222.167,234.167,222.167,0,0.000,1,0.000,0.000,NaN
11,0,3,3,166.167,217.500,166.167,217.500,0,0.000,1,0.000,0.000,NaN
12,0,13,13,124.167,220.833,124.167,220.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,95.500,213.500,95.500,213.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,75.500,215.500,75.500,215.500,0,0.000,1,0.000,0.000,NaN
