 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,11,11,35.000,223.000,35.000,223.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,182.167,190.833,182.167,190.833,0,0.000,1,0.000,0.000,NaN
3,0,2,2,234.167,146.833,234.167,146.833,0,0.000,1,0.000,0.000,NaN
4,0,7,7,233.500,190.833,233.500,190.833,0,0.000,1,0.000,0.000,NaN
5,0,0,0,492.167,208.167,492.167,208.167,0,0.000,1,0.000,0.000,NaN
6,0,11,11,610.833,178.833,610.833,178.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,539.500,256.167,539.500,256.167,0,0.000,1,0.000,0.000,NaN
8,0,2,2,492.167,227.500,492.167,227.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,322.833,237.500,322.833,237.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,297.500,236.167,297.500,236.167,0,0.000,1,0.000,0.000,NaN
11,0,9,9,154.833,238.167,154.833,238.167,0,0.000,1,0.000,0.000,NaN
12,0,9,9,130.167,240.833,130.167,240.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,79.500,234.833,79.500,234.833,0,0.000,1,0.000,0.000,NaN
14,0,4,4,67.500,234.833,67.500,234.833,0,0.000,1,0.000,0.000,NaN
