 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,31.000,212.000,31.000,212.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,182.500,179.500,182.500,179.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,231.500,137.500,231.500,137.500,0,0.000,1,0.000,0.000,NaN
4,0,3,3,234.500,182.500,234.500,182.500,0,0.000,1,0.000,0.000,NaN
5,0,14,14,481.500,208.500,481.500,208.500,0,0.000,1,0.000,0.000,NaN
6,0,10,10,607.500,178.500,607.500,178.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,508.500,243.500,508.500,243.500,0,0.000,1,0.000,0.000,NaN
8,0,1,1,475.500,223.500,475.500,223.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,322.500,234.500,322.500,234.500,0,0.000,1,0.000,0.000,NaN
10,0,6,6,292.500,239.500,292.500,239.500,0,0.000,1,0.000,0.000,NaN
11,0,3,3,181.500,230.500,181.500,230.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,151.500,230.500,151.500,230.500,0,0.000,1,0.000,0.000,NaN
13,0,9,9,94.500,228.500,94.500,228.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,81.500,229.500,81.500,229.500,0,0.000,1,0.000,0.000,NaN
