 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,25.000,219.000,25.000,219.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,180.500,168.500,180.500,168.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,238.500,124.500,238.500,124.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,246.500,181.500,246.500,181.500,0,0.000,1,0.000,0.000,NaN
5,0,6,6,487.500,198.500,487.500,198.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,607.500,172.500,607.500,172.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,514.500,240.500,514.500,240.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,478.500,221.500,478.500,221.500,0,0.000,1,0.000,0.000,NaN
9,0,0,0,321.500,235.500,321.500,235.500,0,0.000,1,0.000,0.000,NaN
10,0,12,12,283.500,242.500,283.500,242.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,207.500,233.500,207.500,233.500,0,0.000,1,0.000,0.000,NaN
12,0,11,11,173.500,232.500,173.500,232.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,87.250,231.250,87.250,231.250,0,0.000,1,0.000,0.000,NaN
14,0,12,12,65.500,231.000,65.500,231.000,0,0.000,1,0.000,0.000,NaN
