 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,2,2,42.000,194.000,42.000,194.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,374.500,167.500,374.500,167.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,397.500,157.500,397.500,157.500,0,0.000,1,0.000,0.000,NaN
4,0,5,5,390.500,173.500,390.500,173.500,0,0.000,1,0.000,0.000,NaN
5,0,13,13,527.500,186.500,527.500,186.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,600.500,144.500,600.500,144.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,563.500,239.500,563.500,239.500,0,0.000,1,0.000,0.000,NaN
8,0,7,7,522.500,202.500,522.500,202.500,0,0.000,1,0.000,0.000,NaN
9,0,2,2,412.500,204.500,412.500,204.500,0,0.000,1,0.000,0.000,NaN
10,0,8,8,383.500,220.500,383.500,220.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,182.500,211.500,182.500,211.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,166.500,196.500,166.500,196.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,114.500,195.500,114.500,195.500,0,0.000,1,0.000,0.000,NaN
14,0,8,8,86.500,216.500,86.500,216.500,0,0.000,1,0.000,0.000,NaN
