 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,35.000,213.000,35.000,213.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,246.500,171.500,246.500,171.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,295.500,110.500,295.500,110.500,0,0.000,1,0.000,0.000,NaN
4,0,1,1,300.500,175.500,300.500,175.500,0,0.000,1,0.000,0.000,NaN
5,0,10,10,501.500,201.500,501.500,201.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,593.500,117.500,593.500,117.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,588.500,272.500,588.500,272.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,510.500,220.500,510.500,220.500,0,0.000,1,0.000,0.000,NaN
9,0,8,8,397.500,239.500,397.500,239.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,370.500,247.500,370.500,247.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,236.500,250.500,236.500,250.500,0,0.000,1,0.000,0.000,NaN
12,0,7,7,184.500,245.500,184.500,245.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,101.500,231.500,101.500,231.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,73.500,231.500,73.500,231.500,0,0.000,1,0.000,0.000,NaN
