 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,34.000,198.000,34.000,198.000,0,0.000,1,0.000,0.000,NaN
2,0,10,10,244.500,156.500,244.500,156.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,282.500,103.500,282.500,103.500,0,0.000,1,0.000,0.000,NaN
4,0,1,1,296.500,160.500,296.500,160.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,495.500,183.500,495.500,183.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,98.500,596.500,98.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,561.500,263.500,561.500,263.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,496.500,201.500,496.500,201.500,0,0.000,1,0.000,0.000,NaN
9,0,14,14,355.500,222.500,355.500,222.500,0,0.000,1,0.000,0.000,NaN
10,0,1,1,330.500,226.500,330.500,226.500,0,0.000,1,0.000,0.000,NaN
11,0,11,11,196.500,221.500,196.500,221.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,164.500,222.500,164.500,222.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,100.500,216.500,100.500,216.500,0,0.000,1,0.000,0.000,NaN
14,0,7,7,75.500,216.500,75.500,216.500,0,0.000,1,0.000,0.000,NaN
