 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,40.000,186.000,40.000,186.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,229.500,157.500,229.500,157.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,284.167,119.500,284.167,119.500,0,0.000,1,0.000,0.000,NaN
4,0,1,1,302.833,160.833,302.833,160.833,0,0.000,1,0.000,0.000,NaN
5,0,12,12,474.167,183.500,474.167,183.500,0,0.000,1,0.000,0.000,NaN
6,0,14,14,599.500,178.833,599.500,178.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,510.833,226.833,510.833,226.833,0,0.000,1,0.000,0.000,NaN
8,0,0,0,464.167,202.167,464.167,202.167,0,0.000,1,0.000,0.000,NaN
9,0,6,6,358.167,210.833,358.167,210.833,0,0.000,1,0.000,0.000,NaN
10,0,8,8,316.167,216.167,316.167,216.167,0,0.000,1,0.000,0.000,NaN
11,0,2,2,213.500,205.500,213.500,205.500,0,0.000,1,0.000,0.000,NaN
12,0,1,1,164.167,211.500,164.167,211.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,104.167,198.833,104.167,198.833,0,0.000,1,0.000,0.000,NaN
14,0,15,15,76.167,198.833,76.167,198.833,0,0.000,1,0.000,0.000,NaN
