 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,5,5,41.000,222.000,41.000,222.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,214.833,190.833,214.833,190.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,256.167,142.833,256.167,142.833,0,0.000,1,0.000,0.000,NaN
4,0,5,5,256.167,192.167,256.167,192.167,0,0.000,1,0.000,0.000,NaN
5,0,5,5,454.833,208.833,454.833,208.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,609.500,152.833,609.500,152.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,496.833,258.167,496.833,258.167,0,0.000,1,0.000,0.000,NaN
8,0,2,2,452.833,227.500,452.833,227.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,316.833,238.833,316.833,238.833,0,0.000,1,0.000,0.000,NaN
10,0,2,2,285.500,241.500,285.500,241.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,182.167,243.500,182.167,243.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,152.167,242.833,152.167,242.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,112.833,235.500,112.833,235.500,0,0.000,1,0.000,0.000,NaN
14,0,1,1,97.500,236.833,97.500,236.833,0,0.000,1,0.000,0.000,NaN
