 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,43.500,201.500,43.500,201.500,0,0.000,1,0.000,0.000,NaN
2,0,0,0,222.000,173.000,222.000,173.000,0,0.000,1,0.000,0.000,NaN
3,0,1,1,265.500,148.500,265.500,148.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,283.000,177.000,283.000,177.000,0,0.000,1,0.000,0.000,NaN
5,0,0,0,426.000,192.500,426.000,192.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,603.500,153.500,603.500,153.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,483.500,273.000,483.500,273.000,0,0.000,1,0.000,0.000,NaN
8,0,13,13,432.500,224.500,432.500,224.500,0,0.000,1,0.000,0.000,NaN
9,0,10,10,355.000,233.500,355.000,233.500,0,0.000,1,0.000,0.000,NaN
10,0,7,7,326.500,242.000,326.500,242.000,0,0.000,1,0.000,0.000,NaN
11,0,10,10,219.000,240.500,219.000,240.500,0,0.000,1,0.000,0.000,NaN
12,0,3,3,184.000,249.000,184.000,249.000,0,0.000,1,0.000,0.000,NaN
13,0,15,15,95.500,230.000,95.500,230.000,0,0.000,1,0.000,0.000,NaN
14,0,10,10,46.500,208.500,46.500,208.500,0,0.000,1,0.000,0.000,NaN
