 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,22.000,196.000,22.000,196.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,228.833,187.500,228.833,187.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,280.167,174.167,280.167,174.167,0,0.000,1,0.000,0.000,NaN
4,0,15,15,265.500,192.167,265.500,192.167,0,0.000,1,0.000,0.000,NaN
5,0,6,6,422.833,199.500,422.833,199.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,619.500,193.500,619.500,193.500,0,0.000,1,0.000,0.000,NaN
7,0,11,11,470.833,242.167,470.833,242.167,0,0.000,1,0.000,0.000,NaN
8,0,11,11,420.833,218.167,420.833,218.167,0,0.000,1,0.000,0.000,NaN
9,0,15,15,345.500,226.833,345.500,226.833,0,0.000,1,0.000,0.000,NaN
10,0,15,15,298.833,230.833,298.833,230.833,0,0.000,1,0.000,0.000,NaN
11,0,11,11,216.167,224.167,216.167,224.167,0,0.000,1,0.000,0.000,NaN
12,0,15,15,192.167,222.167,192.167,222.167,0,0.000,1,0.000,0.000,NaN
13,0,15,15,102.833,225.500,102.833,225.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,58.833,221.500,58.833,221.500,0,0.000,1,0.000,0.000,NaN
