 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,33.000,202.000,33.000,202.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,204.500,187.500,204.500,187.500,0,0.000,1,0.000,0.000,NaN
3,0,7,7,245.500,143.500,245.500,143.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,262.500,195.500,262.500,195.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,512.500,208.500,512.500,208.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,605.500,183.500,605.500,183.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,540.500,236.500,540.500,236.500,0,0.000,1,0.000,0.000,NaN
8,0,4,4,503.500,225.500,503.500,225.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,335.500,225.500,335.500,225.500,0,0.000,1,0.000,0.000,NaN
10,0,7,7,303.500,230.500,303.500,230.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,165.500,235.500,165.500,235.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,134.500,231.500,134.500,231.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,82.500,225.500,82.500,225.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,68.500,222.500,68.500,222.500,0,0.000,1,0.000,0.000,NaN
