 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,30.000,228.000,30.000,228.000,0,0.000,1,0.000,0.000,NaN
2,0,8,8,175.500,194.167,175.500,194.167,0,0.000,1,0.000,0.000,NaN
3,0,8,8,235.500,139.500,235.500,139.500,0,0.000,1,0.000,0.000,NaN
4,0,14,14,250.167,196.167,250.167,196.167,0,0.000,1,0.000,0.000,NaN
5,0,0,0,496.167,214.167,496.167,214.167,0,0.000,1,0.000,0.000,NaN
6,0,14,14,606.833,196.833,606.833,196.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,527.500,249.500,527.500,249.500,0,0.000,1,0.000,0.000,NaN
8,0,14,14,491.500,227.500,491.500,227.500,0,0.000,1,0.000,0.000,NaN
9,0,9,9,320.167,238.167,320.167,238.167,0,0.000,1,0.000,0.000,NaN
10,0,0,0,277.500,240.833,277.500,240.833,0,0.000,1,0.000,0.000,NaN
11,0,7,7,166.167,240.167,166.167,240.167,0,0.000,1,0.000,0.000,NaN
12,0,14,14,139.500,240.167,139.500,240.167,0,0.000,1,0.000,0.000,NaN
13,0,1,1,84.167,237.500,84.167,237.500,0,0.000,1,0.000,0.000,NaN
14,0,2,2,68.833,238.167,68.833,238.167,0,0.000,1,0.000,0.000,NaN
