 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,30.000,221.000,30.000,221.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,209.500,178.167,209.500,178.167,0,0.000,1,0.000,0.000,NaN
3,0,1,1,266.167,136.167,266.167,136.167,0,0.000,1,0.000,0.000,NaN
4,0,4,4,280.167,182.167,280.167,182.167,0,0.000,1,0.000,0.000,NaN
5,0,12,12,504.167,210.833,504.167,210.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,604.833,190.833,604.833,190.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,542.167,243.500,542.167,243.500,0,0.000,1,0.000,0.000,NaN
8,0,4,4,502.833,225.500,502.833,225.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,340.167,229.500,340.167,229.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,295.500,234.167,295.500,234.167,0,0.000,1,0.000,0.000,NaN
11,0,4,4,173.500,232.167,173.500,232.167,0,0.000,1,0.000,0.000,NaN
12,0,15,15,145.500,237.500,145.500,237.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,68.833,233.500,68.833,233.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,57.500,232.167,57.500,232.167,0,0.000,1,0.000,0.000,NaN
