 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,42.000,245.000,42.000,245.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,201.500,208.500,201.500,208.500,0,0.000,1,0.000,0.000,NaN
3,0,4,4,258.500,158.500,258.500,158.500,0,0.000,1,0.000,0.000,NaN
4,0,4,4,264.500,210.500,264.500,210.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,490.500,231.500,490.500,231.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,597.500,214.500,597.500,214.500,0,0.000,1,0.000,0.000,NaN
7,0,13,13,524.500,267.500,524.500,267.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,490.500,249.500,490.500,249.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,332.500,250.500,332.500,250.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,293.500,253.500,293.500,253.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,183.500,258.500,183.500,258.500,0,0.000,1,0.000,0.000,NaN
12,0,14,14,150.500,256.500,150.500,256.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,99.500,253.500,99.500,253.500,0,0.000,1,0.000,0.000,NaN
14,0,13,13,87.500,253.500,87.500,253.500,0,0.000,1,0.000,0.000,NaN
