 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,41.000,236.000,41.000,236.000,0,0.000,1,0.000,0.000,NaN
2,0,4,4,212.500,186.500,212.500,186.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,259.500,146.500,259.500,146.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,262.500,198.500,262.500,198.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,479.500,220.500,479.500,220.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,185.500,596.500,185.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,518.500,260.500,518.500,260.500,0,0.000,1,0.000,0.000,NaN
8,0,6,6,481.500,241.500,481.500,241.500,0,0.000,1,0.000,0.000,NaN
9,0,12,12,335.500,244.500,335.500,244.500,0,0.000,1,0.000,0.000,NaN
10,0,12,12,301.500,246.500,301.500,246.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,186.500,254.500,186.500,254.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,155.500,249.500,155.500,249.500,0,0.000,1,0.000,0.000,NaN
13,0,3,3,105.500,245.500,105.500,245.500,0,0.000,1,0.000,0.000,NaN
14,0,4,4,92.500,246.500,92.500,246.500,0,0.000,1,0.000,0.000,NaN
