 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,45.000,240.000,45.000,240.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,192.500,211.500,192.500,211.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,252.500,161.500,252.500,161.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,261.500,214.500,261.500,214.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,484.500,227.500,484.500,227.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,208.500,596.500,208.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,521.500,264.500,521.500,264.500,0,0.000,1,0.000,0.000,NaN
8,0,7,7,483.500,245.500,483.500,245.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,317.500,255.500,317.500,255.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,279.500,259.500,279.500,259.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,178.500,254.500,178.500,254.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,154.500,255.500,154.500,255.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,110.500,253.500,110.500,253.500,0,0.000,1,0.000,0.000,NaN
14,0,8,8,90.500,253.500,90.500,253.500,0,0.000,1,0.000,0.000,NaN
