 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,9,9,44.000,239.000,44.000,239.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,198.500,210.500,198.500,210.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,245.500,165.500,245.500,165.500,0,0.000,1,0.000,0.000,NaN
4,0,5,5,254.500,215.500,254.500,215.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,492.500,226.500,492.500,226.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,604.500,213.500,604.500,213.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,537.500,263.500,537.500,263.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,486.500,244.500,486.500,244.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,315.500,255.500,315.500,255.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,276.500,259.500,276.500,259.500,0,0.000,1,0.000,0.000,NaN
11,0,3,3,178.500,257.500,178.500,257.500,0,0.000,1,0.000,0.000,NaN
12,0,4,4,149.500,255.500,149.500,255.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,91.500,250.500,91.500,250.500,0,0.000,1,0.000,0.000,NaN
14,0,9,9,80.500,250.500,80.500,250.500,0,0.000,1,0.000,0.000,NaN
