 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,44.000,215.000,44.000,215.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,183.500,185.500,183.500,185.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,238.500,146.500,238.500,146.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,252.500,191.500,252.500,191.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,483.500,202.500,483.500,202.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,193.500,599.500,193.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,516.500,236.500,516.500,236.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,472.500,216.500,472.500,216.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,299.500,227.500,299.500,227.500,0,0.000,1,0.000,0.000,NaN
10,0,6,6,268.500,231.500,268.500,231.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,168.500,225.500,168.500,225.500,0,0.000,1,0.000,0.000,NaN
12,0,14,14,141.500,227.500,141.500,227.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,96.500,225.500,96.500,225.500,0,0.000,1,0.000,0.000,NaN
14,0,1,1,82.500,225.500,82.500,225.500,0,0.000,1,0.000,0.000,NaN
