 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,2,2,42.000,238.000,42.000,238.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,226.500,201.500,226.500,201.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,299.500,157.500,299.500,157.500,0,0.000,1,0.000,0.000,NaN
4,0,5,5,283.500,205.500,283.500,205.500,0,0.000,1,0.000,0.000,NaN
5,0,2,2,445.500,228.500,445.500,228.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,598.500,204.500,598.500,204.500,0,0.000,1,0.000,0.000,NaN
7,0,2,2,503.500,284.500,503.500,284.500,0,0.000,1,0.000,0.000,NaN
8,0,7,7,451.500,245.500,451.500,245.500,0,0.000,1,0.000,0.000,NaN
9,0,2,2,342.500,256.500,342.500,256.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,316.500,259.500,316.500,259.500,0,0.000,1,0.000,0.000,NaN
11,0,2,2,212.500,252.500,212.500,252.500,0,0.000,1,0.000,0.000,NaN
12,0,7,7,181.500,256.500,181.500,256.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,114.500,252.500,114.500,252.500,0,0.000,1,0.000,0.000,NaN
14,0,2,2,102.500,253.500,102.500,253.500,0,0.000,1,0.000,0.000,NaN
