 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,12,12,51.000,238.000,51.000,238.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,235.500,197.500,235.500,197.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,304.500,147.500,304.500,147.500,0,0.000,1,0.000,0.000,NaN
4,0,12,12,295.500,204.500,295.500,204.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,464.500,221.500,464.500,221.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,191.500,596.500,191.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,529.500,277.500,529.500,277.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,464.500,242.500,464.500,242.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,349.500,251.500,349.500,251.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,319.500,255.500,319.500,255.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,184.500,258.500,184.500,258.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,156.500,261.500,156.500,261.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,94.500,248.500,94.500,248.500,0,0.000,1,0.000,0.000,NaN
14,0,13,13,71.500,250.500,71.500,250.500,0,0.000,1,0.000,0.000,NaN
