 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,14,14,41.000,222.000,41.000,222.000,0,0.000,1,0.000,0.000,NaN
2,0,10,10,232.500,170.500,232.500,170.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,293.500,135.500,293.500,135.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,292.500,177.500,292.500,177.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,474.500,212.500,474.500,212.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,598.500,188.500,598.500,188.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,527.500,254.500,527.500,254.500,0,0.000,1,0.000,0.000,NaN
8,0,0,0,466.500,233.500,466.500,233.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,357.500,237.500,357.500,237.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,319.500,240.500,319.500,240.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,194.500,242.500,194.500,242.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,161.500,239.500,161.500,239.500,0,0.000,1,0.000,0.000,NaN
13,0,6,6,98.500,231.500,98.500,231.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,76.500,235.500,76.500,235.500,0,0.000,1,0.000,0.000,NaN
