 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,217,217,31.000,154.000,31.000,154.000,0,0.000,1,0.000,0.000,NaN
2,0,232,232,266.500,112.500,266.500,112.500,0,0.000,1,0.000,0.000,NaN
3,0,212,212,331.500,68.500,331.500,68.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,315.500,119.500,315.500,119.500,0,0.000,1,0.000,0.000,NaN
5,0,63,63,422.500,131.500,422.500,131.500,0,0.000,1,0.000,0.000,NaN
6,0,116,116,613.500,111.500,613.500,111.500,0,0.000,1,0.000,0.000,NaN
7,0,1,1,479.500,177.500,479.500,177.500,0,0.000,1,0.000,0.000,NaN
8,0,74,74,428.500,155.500,428.500,155.500,0,0.000,1,0.000,0.000,NaN
9,0,189,189,306.500,162.500,306.500,162.500,0,0.000,1,0.000,0.000,NaN
10,0,201,201,276.500,170.500,276.500,170.500,0,0.000,1,0.000,0.000,NaN
11,0,1,1,164.500,162.500,164.500,162.500,0,0.000,1,0.000,0.000,NaN
12,0,177,177,134.500,159.500,134.500,159.500,0,0.000,1,0.000,0.000,NaN
13,0,1,1,50.500,161.500,50.500,161.500,0,0.000,1,0.000,0.000,NaN
14,0,0,0,43.833,159.833,43.833,159.833,0,0.000,1,0.000,0.000,NaN
