 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,43.000,219.000,43.000,219.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,344.500,195.500,344.500,195.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,389.500,172.500,389.500,172.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,383.500,199.500,383.500,199.500,0,0.000,1,0.000,0.000,NaN
5,0,13,13,431.500,204.500,431.500,204.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,188.500,599.500,188.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,475.500,250.500,475.500,250.500,0,0.000,1,0.000,0.000,NaN
8,0,13,13,435.500,232.500,435.500,232.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,317.500,233.500,317.500,233.500,0,0.000,1,0.000,0.000,NaN
10,0,1,1,291.500,241.500,291.500,241.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,178.500,241.500,178.500,241.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,143.500,236.500,143.500,236.500,0,0.000,1,0.000,0.000,NaN
13,0,6,6,85.500,231.500,85.500,231.500,0,0.000,1,0.000,0.000,NaN
14,0,10,10,68.500,232.500,68.500,232.500,0,0.000,1,0.000,0.000,NaN
