 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,54.000,205.000,54.000,205.000,0,0.000,1,0.000,0.000,NaN
2,0,3,3,325.500,179.500,325.500,179.500,0,0.000,1,0.000,0.000,NaN
3,0,8,8,371.500,147.500,371.500,147.500,0,0.000,1,0.000,0.000,NaN
4,0,4,4,376.500,191.500,376.500,191.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,477.500,196.500,477.500,196.500,0,0.000,1,0.000,0.000,NaN
6,0,2,2,594.500,191.500,594.500,191.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,500.500,229.500,500.500,229.500,0,0.000,1,0.000,0.000,NaN
8,0,0,0,465.500,217.500,465.500,217.500,0,0.000,1,0.000,0.000,NaN
9,0,1,1,330.500,216.500,330.500,216.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,292.500,225.500,292.500,225.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,210.500,224.500,210.500,224.500,0,0.000,1,0.000,0.000,NaN
12,0,8,8,170.500,227.500,170.500,227.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,80.500,220.500,80.500,220.500,0,0.000,1,0.000,0.000,NaN
14,0,0,0,71.500,220.500,71.500,220.500,0,0.000,1,0.000,0.000,NaN
