 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,14,14,42.000,211.000,42.000,211.000,0,0.000,1,0.000,0.000,NaN
2,0,9,9,317.500,198.500,317.500,198.500,0,0.000,1,0.000,0.000,NaN
3,0,3,3,354.500,163.500,354.500,163.500,0,0.000,1,0.000,0.000,NaN
4,0,1,1,364.500,200.500,364.500,200.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,474.500,213.500,474.500,213.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,207.500,599.500,207.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,518.500,238.500,518.500,238.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,483.500,248.500,483.500,248.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,324.500,241.500,324.500,241.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,284.500,246.500,284.500,246.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,197.500,237.500,197.500,237.500,0,0.000,1,0.000,0.000,NaN
12,0,9,9,146.500,243.500,146.500,243.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,73.500,233.500,73.500,233.500,0,0.000,1,0.000,0.000,NaN
14,0,5,5,50.500,229.500,50.500,229.500,0,0.000,1,0.000,0.000,NaN
