 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,41.000,253.000,41.000,253.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,150.500,221.500,150.500,221.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,300.500,88.500,300.500,88.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,323.500,204.500,323.500,204.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,502.500,241.500,502.500,241.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,604.500,175.500,604.500,175.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,557.500,302.500,557.500,302.500,0,0.000,1,0.000,0.000,NaN
8,0,11,11,494.500,272.500,494.500,272.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,441.500,284.500,441.500,284.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,404.500,299.500,404.500,299.500,0,0.000,1,0.000,0.000,NaN
11,0,11,11,185.500,273.500,185.500,273.500,0,0.000,1,0.000,0.000,NaN
12,0,10,10,151.500,276.500,151.500,276.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,86.500,286.500,86.500,286.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,76.500,285.500,76.500,285.500,0,0.000,1,0.000,0.000,NaN
