 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,6,6,35.000,234.000,35.000,234.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,140.500,179.500,140.500,179.500,0,0.000,1,0.000,0.000,NaN
3,0,14,14,235.500,98.500,235.500,98.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,255.500,170.500,255.500,170.500,0,0.000,1,0.000,0.000,NaN
5,0,2,2,492.500,216.500,492.500,216.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,173.500,599.500,173.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,549.500,266.500,549.500,266.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,491.500,239.500,491.500,239.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,421.500,244.500,421.500,244.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,391.500,261.500,391.500,261.500,0,0.000,1,0.000,0.000,NaN
11,0,4,4,176.500,242.500,176.500,242.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,145.500,234.500,145.500,234.500,0,0.000,1,0.000,0.000,NaN
13,0,9,9,85.500,256.500,85.500,256.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,68.500,254.500,68.500,254.500,0,0.000,1,0.000,0.000,NaN
