 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,43.000,216.000,43.000,216.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,137.500,188.500,137.500,188.500,0,0.000,1,0.000,0.000,NaN
3,0,11,11,251.500,82.500,251.500,82.500,0,0.000,1,0.000,0.000,NaN
4,0,1,1,221.500,168.500,221.500,168.500,0,0.000,1,0.000,0.000,NaN
5,0,10,10,492.500,213.500,492.500,213.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,598.500,165.500,598.500,165.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,540.500,260.500,540.500,260.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,478.500,234.500,478.500,234.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,415.500,236.500,415.500,236.500,0,0.000,1,0.000,0.000,NaN
10,0,2,2,380.500,249.500,380.500,249.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,167.500,234.500,167.500,234.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,133.500,225.500,133.500,225.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,73.500,226.500,73.500,226.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,62.500,232.500,62.500,232.500,0,0.000,1,0.000,0.000,NaN
