 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,8,8,40.000,213.000,40.000,213.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,301.500,201.500,301.500,201.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,341.500,170.500,341.500,170.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,333.500,200.500,333.500,200.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,494.500,200.500,494.500,200.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,586.500,210.500,586.500,210.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,562.500,227.500,562.500,227.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,478.500,217.500,478.500,217.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,255.500,231.500,255.500,231.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,234.500,233.500,234.500,233.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,137.500,227.500,137.500,227.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,118.500,229.500,118.500,229.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,53.500,225.500,53.500,225.500,0,0.000,1,0.000,0.000,NaN
14,0,4,4,50.833,222.167,50.833,222.167,0,0.000,1,0.000,0.000,NaN
