 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,3,3,41.000,246.000,41.000,246.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,192.500,199.500,192.500,199.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,246.500,161.500,246.500,161.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,247.500,209.500,247.500,209.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,472.500,230.500,472.500,230.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,217.500,596.500,217.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,514.500,270.500,514.500,270.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,471.500,247.500,471.500,247.500,0,0.000,1,0.000,0.000,NaN
9,0,8,8,316.500,259.500,316.500,259.500,0,0.000,1,0.000,0.000,NaN
10,0,1,1,295.500,260.500,295.500,260.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,177.500,257.500,177.500,257.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,153.500,257.500,153.500,257.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,97.500,258.500,97.500,258.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,87.500,256.500,87.500,256.500,0,0.000,1,0.000,0.000,NaN
