 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,11,11,39.000,235.000,39.000,235.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,318.500,204.500,318.500,204.500,0,0.000,1,0.000,0.000,NaN
3,0,11,11,365.500,191.500,365.500,191.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,355.500,216.500,355.500,216.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,485.500,216.500,485.500,216.500,0,0.000,1,0.000,0.000,NaN
6,0,4,4,598.500,196.500,598.500,196.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,522.500,243.500,522.500,243.500,0,0.000,1,0.000,0.000,NaN
8,0,13,13,487.500,234.500,487.500,234.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,365.500,245.500,365.500,245.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,302.500,251.500,302.500,251.500,0,0.000,1,0.000,0.000,NaN
11,0,13,13,184.500,252.500,184.500,252.500,0,0.000,1,0.000,0.000,NaN
12,0,11,11,165.500,252.500,165.500,252.500,0,0.000,1,0.000,0.000,NaN
13,0,2,2,93.500,243.500,93.500,243.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,70.500,248.500,70.500,248.500,0,0.000,1,0.000,0.000,NaN
